,user_created_at,user_screen_name,text,tweet_url,user_location,hashtags
12498,Wed Oct 26 14:38:59 +0000 2016,BeachBoxerMom,@TomWiboltt @jihadwatchRS Thought it was Moneypox 💰,https://twitter.com/BeachBoxerMom/status/1527783672358789120,USA,
12499,Wed Oct 27 00:12:46 +0000 2021,been_wild,"There is a vaccine called jynneos that works for monkey pox and is part of the national stockpile for the US 

Outside of that it’s slim pickins",https://twitter.com/been_wild/status/1523522497601490945,NAFO Contractor HQ,
12500,Wed Oct 27 18:05:26 +0000 2021,DrColinForceps,"@LivewithAndy And with all that lowering of the immune system too. Goodbye Shingles, hello Monkey Pox.",https://twitter.com/DrColinForceps/status/1526624412128186368,,
12501,Wed Oct 27 18:26:23 +0000 2021,SharonG40799752,MONKEY pOX IS FROM ILLEGAL S CROSSING OUR BORDER!!,https://twitter.com/SharonG40799752/status/1527764553018265601,,
12502,Wed Oct 27 20:32:22 +0000 2021,MIKEfalkenstei2,WHY DID THE BIDEN REFEIME JUST PURCHASE 13 MILLION DOSES OF MONKEY POX VACCINE??,https://twitter.com/MIKEfalkenstei2/status/1527421660781072384,USA,
12503,Wed Oct 27 21:01:35 +0000 2010,ilovearsenal02,Interesting choice of picture. I know the kind of demographic to spread monkey pox and it isnt the person in this pic lmaooooooo https://t.co/77xTQIRSF9,https://twitter.com/ilovearsenal02/status/1528111067070664704,Bedford-Stuyvesen,
12504,Wed Oct 27 21:01:35 +0000 2010,ilovearsenal02,Yeah the monkey pox worry for me is 100% cosmetic because what do you mean???,https://twitter.com/ilovearsenal02/status/1527756475812261889,Bedford-Stuyvesen,
12505,Wed Oct 27 22:00:18 +0000 2021,James_Hawke1,I'm kinda glad they never said the future would be pregnant men and monkey pox.,https://twitter.com/James_Hawke1/status/1527784271649177600,Ausganistan,
12506,Wed Oct 27 22:22:42 +0000 2021,RealSamData,Not sure it this matters but the last outbreak of Monkey Pox was because of vaccine contamination. https://t.co/MUqEnUEA5L https://t.co/75klbQb2Xd,https://twitter.com/RealSamData/status/1527010627167870976,Florida,
12507,Wed Oct 28 09:31:36 +0000 2020,Budd23864896,"IF YOU GET THE MONKEY POX INSIDE YOU! DON'T GET THE MONKEY SHINGLES VAX! BECAUSE IF YOU, DO. YOU WILL GET THE MONKEY SHINGLES!",https://twitter.com/Budd23864896/status/1527422431299883008,,
12508,Wed Oct 28 14:46:33 +0000 2015,heyiwanafly,I'm sure monkey pox + hepatitis issues + covid + flu will make a great combination for a battered population. https://t.co/343jyTgney,https://twitter.com/heyiwanafly/status/1526266834709782529,Hell / Isle Of Wight,
12509,Wed Oct 28 17:00:32 +0000 2020,SallyButterwor6,Monkey pox is my guess.🙊 https://t.co/dgymCd92Dx,https://twitter.com/SallyButterwor6/status/1527060719199727616,America,
12510,Wed Oct 28 17:00:32 +0000 2020,SallyButterwor6,Ivermectin is only for COVID. You have to take flea medicine for monkey pox. https://t.co/EyllfAn1op,https://twitter.com/SallyButterwor6/status/1527058817900347392,America,
12511,Wed Oct 28 19:54:33 +0000 2020,AnnaVic88472217,"Well lets be honest Covid is over. Back to normal. Oh wait, now here comes Monkey Pox that kills 1 in 10. People are contagious before the vessels appear on the skin. So how long before we social distance and shut things. If we do I WILL NOT COMPLY.",https://twitter.com/AnnaVic88472217/status/1527789035422470144,,
12512,Wed Oct 28 19:57:32 +0000 2009,EmuHp,"Can't wait to be immune to monkey pox too, future knobbly fuckers 😁 https://t.co/FUHPGNkHfR",https://twitter.com/EmuHp/status/1527051412990992389,"Old Trafford, baby. Mcr. 🐝",
12513,Wed Oct 28 19:58:51 +0000 2009,foreverimbetter,@WhoO_Ome I know Ferb got something in his book of inventions  to cure monkey pox,https://twitter.com/foreverimbetter/status/1527748987570122752,I AM NOT BIRACIAL,
12514,Wed Oct 29 17:02:20 +0000 2008,elle_dee_see,"If Monkey Pox becomes prevalent, I give up.

#Panini2022",https://twitter.com/elle_dee_see/status/1527357570109030401,"Ottawa, Ontario, CANADA",Panini2022
12515,Wed Oct 29 17:10:19 +0000 2008,obaidomer,@MsMelChen Herd immunity tactic for monkey pox,https://twitter.com/obaidomer/status/1528112376456830979,"Montreal, Québec",
12516,Wed Oct 30 02:17:25 +0000 2013,Temecula_FC,Monkey Pox spotted in UK https://t.co/vIpKm02w0A,https://twitter.com/Temecula_FC/status/1527761058693165056,"41973 6th Street Temecula, CA",
12517,Wed Oct 31 01:41:22 +0000 2018,cliff_ohio,Monkey pox looks NASTY idc what the vaccine is I’ll take it day one lol if this shit spread,https://twitter.com/cliff_ohio/status/1528101517277929472,Duval,
12518,Wed Oct 31 15:07:26 +0000 2012,KRobe15041,"Is it me, or are we getting hit with multiple plagues?  Covid, then monkey pox, whatever is causing that mystery hepatitis in kids…and earlier I saw a report of avian flu not far from here in NJ. 😳😬",https://twitter.com/KRobe15041/status/1527432325973393425,,
12519,Wed Oct 31 18:46:46 +0000 2012,Laurs25,@lolacoaster Could be worse…could be dealing with monkey pox too 🙄,https://twitter.com/Laurs25/status/1527763419235074048,,
12520,Wed Sep 01 03:12:27 +0000 2021,indieladyy,@WadeMiller_USMC I’ve been saying that they are trying to make monkey pox the new pandemic,https://twitter.com/indieladyy/status/1527033248743931904,,
12521,Wed Sep 01 05:19:55 +0000 2010,jifilis,@CapitalistGhost Moneypox,https://twitter.com/jifilis/status/1523007549225811968,Brazil,
12522,Wed Sep 01 13:41:36 +0000 2021,Sean_tkd247,Monkey pox my ASS 😎 WTF is next ?? Im suffering with  NFT AND DOMAINS  SYNDROME and i love it @10kClubOfficial #NFTs,https://twitter.com/Sean_tkd247/status/1527796968658984960,,NFTs
12523,Wed Sep 01 16:29:01 +0000 2021,CoolWhip3343,Western media showcasing Black people as the spokesman for monkey pox although it was first spread in the UK just proves how racist the Media is. It isn't just conservative media.,https://twitter.com/CoolWhip3343/status/1528136696365301760,,
12524,Wed Sep 01 16:37:16 +0000 2021,Shan_ty56,@rahmyy_2053 @trinidadfinist @Dpriiiian Monkey pox..Monkeys disease or what tsw,https://twitter.com/Shan_ty56/status/1527381341729443840,,
12525,Wed Sep 01 16:37:16 +0000 2021,Shan_ty56,@rahmyy_2053 @trinidadfinist @Dpriiiian Qween Like no freaking break for https://t.co/5RfdXxcrOs is Monkey pox,https://twitter.com/Shan_ty56/status/1527379592381865984,,
12526,Wed Sep 01 20:55:51 +0000 2021,JamesDo88039200,"@JohnnyApe812 No new vaccine needed the classic smallpox vaccine works at 85% effective rates against all strains of monkey pox they are cousins. Monkey pox was virtually unknown because when the WHO was eradicating smallpox they also were preventing monkey pox,cow pox and  camel pox.",https://twitter.com/JamesDo88039200/status/1527751801449197568,,
12527,Wed Sep 01 21:34:14 +0000 2021,shamanspirit13,"Oh for fucks sake people! Monkey pox is not the new covid. Monkey Pox is a POX virus. It spreads, primarily, through contact with the POX or PUSTULES. Unless you have contact with the pustules and have an open cut in the skin for it to enter, or you are actively breathing...",https://twitter.com/shamanspirit13/status/1527359034369593373,"California, USA",
